"Hora","Date","favorite_count","retweet_count"
11,2020-09-08,4,1
13,2020-09-07,4,0
13,2020-09-07,0,1
13,2020-09-07,0,6
15,2020-09-04,5,1
11,2020-09-04,4,2
16,2020-09-03,1,0
15,2020-09-03,7,0
9,2020-09-02,4,0
9,2020-09-01,4,0
10,2020-08-31,3,1
9,2020-08-28,3,0
9,2020-08-27,2,0
7,2020-08-27,0,4
12,2020-08-25,1,0
17,2020-08-24,3,5
9,2020-08-24,3,0
16,2020-08-21,1,0
11,2020-08-21,0,10
16,2020-08-20,0,1
15,2020-08-20,0,12
12,2020-08-20,0,2
16,2020-08-19,3,1
15,2020-08-18,3,1
11,2020-08-18,0,2
11,2020-08-18,0,2
11,2020-08-18,0,5
15,2020-08-17,1,0
15,2020-08-17,0,2
13,2020-08-07,6,2
9,2020-08-06,2,0
9,2020-08-06,0,9
9,2020-08-06,0,3
15,2020-08-05,2,1
15,2020-08-05,0,3
7,2020-08-05,0,3
14,2020-08-04,4,0
13,2020-08-03,2,0
9,2020-07-31,3,0
9,2020-07-30,4,2
18,2020-07-29,0,6
9,2020-07-29,2,1
9,2020-07-28,2,0
10,2020-07-27,5,2
13,2020-07-24,5,0
12,2020-07-23,3,1
14,2020-07-22,7,2
14,2020-07-22,2,0
11,2020-07-22,0,2
11,2020-07-22,0,1
7,2020-07-22,0,8
7,2020-07-22,5,0
9,2020-07-21,0,1
15,2020-07-20,0,9
15,2020-07-20,0,3
14,2020-07-20,9,2
7,2020-07-20,0,1
14,2020-07-17,0,1
14,2020-07-17,0,4
14,2020-07-17,0,12
8,2020-07-17,0,6
8,2020-07-16,6,2
14,2020-07-15,1,0
13,2020-07-15,0,3
9,2020-07-15,2,0
15,2020-07-14,3,2
14,2020-07-13,4,0
12,2020-07-13,9,1
8,2020-07-13,0,2
8,2020-07-13,0,3
8,2020-07-13,0,1
8,2020-07-13,0,2
8,2020-07-13,0,6
15,2020-07-10,2,0
13,2020-07-10,0,8
13,2020-07-09,5,0
13,2020-07-09,0,2
11,2020-07-08,0,2
9,2020-07-08,0,6
8,2020-07-08,11,6
16,2020-07-07,2,0
16,2020-07-07,0,3
15,2020-07-06,4,0
12,2020-07-06,4,3
10,2020-07-06,0,4
14,2020-07-03,2,0
8,2020-07-03,0,1
16,2020-07-02,2,0
11,2020-07-02,0,1
9,2020-07-02,8,8
15,2020-07-01,4,0
9,2020-07-01,4,0
8,2020-07-01,0,11
8,2020-07-01,0,1
7,2020-07-01,0,7
17,2020-06-30,4,1
9,2020-06-30,8,2
14,2020-06-29,0,11
14,2020-06-29,0,9
14,2020-06-29,0,3
11,2020-06-29,0,2
11,2020-06-29,4,2
9,2020-06-29,5,1
9,2020-06-28,2,0
9,2020-06-27,3,0
14,2020-06-26,5,0
13,2020-06-26,0,1
12,2020-06-26,3,0
9,2020-06-26,7,1
14,2020-06-25,0,3
12,2020-06-25,4,0
10,2020-06-25,1,0
9,2020-06-25,1,0
9,2020-06-25,6,1
9,2020-06-24,5,2
17,2020-06-23,2,0
15,2020-06-23,0,2
15,2020-06-23,0,2
11,2020-06-23,0,3
11,2020-06-23,9,5
9,2020-06-23,4,1
16,2020-06-22,12,4
14,2020-06-22,4,2
9,2020-06-22,5,1
14,2020-06-19,0,8
14,2020-06-19,0,6
12,2020-06-19,3,1
9,2020-06-19,4,1
8,2020-06-19,0,14
13,2020-06-18,10,0
9,2020-06-18,3,0
8,2020-06-18,0,12
8,2020-06-18,0,5
15,2020-06-17,6,3
9,2020-06-17,3,0
11,2020-06-16,3,0
9,2020-06-16,2,0
11,2020-06-15,0,0
11,2020-06-15,6,5
9,2020-06-15,2,0
8,2020-06-15,0,7
16,2020-06-12,0,0
15,2020-06-12,0,2
9,2020-06-12,2,1
7,2020-06-12,0,3
7,2020-06-12,0,3
22,2020-06-11,0,3
22,2020-06-11,0,10
16,2020-06-11,5,2
14,2020-06-11,6,3
9,2020-06-11,3,1
14,2020-06-10,2,0
13,2020-06-10,0,2
9,2020-06-10,1,1
9,2020-06-10,0,3
9,2020-06-10,0,0
7,2020-06-10,0,1
13,2020-06-09,0,0
9,2020-06-09,3,6
16,2020-06-08,0,1
15,2020-06-08,0,1
15,2020-06-08,0,0
14,2020-06-08,0,7
12,2020-06-08,0,4
12,2020-06-08,10,5
9,2020-06-08,2,0
16,2020-06-05,0,15
16,2020-06-05,1,0
13,2020-06-05,2,2
11,2020-06-05,1,1
11,2020-06-05,0,6
11,2020-06-04,3,1
9,2020-06-04,6,1
18,2020-06-03,9,2
16,2020-06-03,0,13
16,2020-06-03,0,0
15,2020-06-02,6,2
16,2020-06-01,0,7
16,2020-06-01,0,2
16,2020-06-01,0,3
16,2020-06-01,0,3
16,2020-06-01,0,10
15,2020-06-01,0,0
18,2020-05-29,0,11
18,2020-05-29,0,14
15,2020-05-29,0,0
15,2020-05-29,0,12
15,2020-05-29,0,4
16,2020-05-28,5,1
11,2020-05-28,1,0
7,2020-05-28,0,4
7,2020-05-28,0,1
7,2020-05-28,0,11
7,2020-05-28,0,10
21,2020-05-27,0,6
21,2020-05-27,0,5
17,2020-05-27,6,3
16,2020-05-27,1,2
9,2020-05-27,0,1
17,2020-05-26,5,3
14,2020-05-25,6,3
14,2020-05-22,0,16
14,2020-05-22,0,0
13,2020-05-21,4,2
12,2020-05-21,7,7
18,2020-05-20,3,0
15,2020-05-20,5,4
14,2020-05-20,0,7
14,2020-05-20,4,0
12,2020-05-20,1,2
18,2020-05-19,3,0
15,2020-05-19,0,0
14,2020-05-19,0,1
12,2020-05-19,0,2
8,2020-05-19,0,5
18,2020-05-18,2,3
12,2020-05-18,3,2
11,2020-05-18,0,8
11,2020-05-18,0,5
10,2020-05-18,5,1
16,2020-05-17,1,0
11,2020-05-17,2,1
9,2020-05-17,0,6
9,2020-05-17,0,5
9,2020-05-17,0,19
9,2020-05-17,0,26
18,2020-05-15,3,2
15,2020-05-15,2,1
14,2020-05-15,0,2
12,2020-05-15,1,1
18,2020-05-14,3,1
16,2020-05-14,4,3
12,2020-05-14,2,1
18,2020-05-13,0,1
16,2020-05-13,0,2
16,2020-05-13,17,9
12,2020-05-13,4,1
8,2020-05-13,0,10
7,2020-05-13,4,2
18,2020-05-12,1,1
17,2020-05-12,0,5
12,2020-05-12,3,2
12,2020-05-12,4,3
12,2020-05-11,2,0
19,2020-05-10,0,15
19,2020-05-10,0,11
19,2020-05-10,0,14
19,2020-05-10,0,7
19,2020-05-10,0,11
17,2020-05-08,3,1
10,2020-05-08,0,3
10,2020-05-08,1,0
15,2020-05-07,0,4
14,2020-05-07,5,1
11,2020-05-06,0,15
10,2020-05-06,23,12
15,2020-05-05,7,5
16,2020-05-04,4,1
16,2020-05-04,6,2
13,2020-05-04,0,0
12,2020-05-01,4,2
14,2020-04-30,2,0
7,2020-04-30,0,7
7,2020-04-30,0,5
17,2020-04-29,1,0
17,2020-04-29,0,6
16,2020-04-29,2,1
16,2020-04-28,1,1
12,2020-04-28,3,2
19,2020-04-27,6,5
12,2020-04-27,0,0
11,2020-04-27,3,0
10,2020-04-27,0,45
15,2020-04-24,2,0
15,2020-04-23,1,1
14,2020-04-23,0,0
11,2020-04-23,7,1
13,2020-04-22,3,0
9,2020-04-22,0,97
15,2020-04-21,1,2
10,2020-04-21,0,20
16,2020-04-20,0,18
15,2020-04-17,0,1
9,2020-04-17,0,13
15,2020-04-16,0,0
12,2020-04-16,0,1
11,2020-04-16,2,1
14,2020-04-15,0,21
14,2020-04-15,3,1
12,2020-04-15,1,1
9,2020-04-15,1,0
8,2020-04-15,2,0
18,2020-04-14,2,1
17,2020-04-14,0,28
17,2020-04-14,0,8
16,2020-04-14,8,1
10,2020-04-09,1,0
18,2020-04-08,0,7
18,2020-04-08,0,7
18,2020-04-08,0,15
18,2020-04-08,0,15
18,2020-04-08,0,11
18,2020-04-08,0,19
18,2020-04-08,0,9
18,2020-04-08,0,22
18,2020-04-08,0,1
18,2020-04-08,0,15
18,2020-04-08,0,10
18,2020-04-08,0,18
18,2020-04-08,0,8
18,2020-04-08,0,28
18,2020-04-08,1,0
16,2020-04-08,12,5
11,2020-04-08,0,3
18,2020-04-07,5,3
15,2020-04-07,26,11
12,2020-04-07,4,2
12,2020-04-07,7,5
18,2020-04-06,6,2
18,2020-04-06,2,1
12,2020-04-06,4,3
8,2020-04-06,1,0
7,2020-04-06,3,0
18,2020-04-04,1,0
18,2020-04-04,1,0
18,2020-04-04,2,0
18,2020-04-04,25,4
15,2020-04-03,1,0
15,2020-04-03,7,5
11,2020-04-02,9,5
10,2020-04-02,12,5
9,2020-04-01,2,3
12,2020-03-31,0,39
9,2020-03-30,4,0
19,2020-03-27,0,78
15,2020-03-27,0,37
12,2020-03-27,21,6
18,2020-03-26,0,11
12,2020-03-26,7,1
15,2020-03-25,4,1
21,2020-03-24,0,11
21,2020-03-24,0,5
21,2020-03-24,0,1
21,2020-03-24,0,1
12,2020-03-24,7,8
15,2020-03-23,3,0
13,2020-03-23,1,0
13,2020-03-23,0,44
20,2020-03-21,0,33
17,2020-03-20,10,4
10,2020-03-20,0,7
10,2020-03-20,2,1
8,2020-03-20,0,0
17,2020-03-19,0,0
12,2020-03-19,4,0
11,2020-03-19,0,10
11,2020-03-19,0,13
14,2020-03-18,1,0
16,2020-03-16,0,13
16,2020-03-16,5,2
16,2020-03-13,0,1
14,2020-03-13,1,0
13,2020-03-12,0,0
13,2020-03-12,0,1
10,2020-03-12,0,3
10,2020-03-12,5,2
9,2020-03-12,0,6
9,2020-03-12,0,3
9,2020-03-12,0,11
19,2020-03-11,0,0
16,2020-03-11,1,0
13,2020-03-11,2,0
9,2020-03-11,5,2
14,2020-03-10,1,1
11,2020-03-10,0,1
11,2020-03-10,3,1
15,2020-03-09,6,1
13,2020-03-08,2,0
19,2020-03-06,1,0
17,2020-03-06,2,2
16,2020-03-06,0,0
13,2020-03-06,3,1
17,2020-03-05,2,0
17,2020-03-05,0,0
16,2020-03-05,0,1
16,2020-03-05,0,3
15,2020-03-05,1,0
15,2020-03-05,1,0
14,2020-03-05,1,1
13,2020-03-05,0,0
10,2020-03-05,6,2
20,2020-03-04,8,3
18,2020-03-04,6,1
18,2020-03-04,2,0
13,2020-03-04,7,1
10,2020-03-04,0,16
10,2020-03-04,0,2
10,2020-03-04,13,5
13,2020-03-03,2,0
12,2020-03-01,5,3
10,2020-02-29,2,1
13,2020-02-28,3,1
11,2020-02-28,2,0
13,2020-02-27,2,0
10,2020-02-27,3,1
17,2020-02-26,2,0
12,2020-02-26,0,12
12,2020-02-26,0,18
13,2020-02-25,2,0
11,2020-02-25,2,3
11,2020-02-25,1,1
19,2020-02-24,2,0
13,2020-02-24,4,2
13,2020-02-21,2,2
12,2020-02-21,4,1
8,2020-02-21,2,1
13,2020-02-20,0,1
13,2020-02-20,2,0
12,2020-02-20,4,1
11,2020-02-20,0,3
16,2020-02-19,5,0
16,2020-02-19,3,1
16,2020-02-19,2,0
16,2020-02-19,4,2
15,2020-02-19,5,2
13,2020-02-19,0,4
13,2020-02-19,0,6
12,2020-02-19,3,0
18,2020-02-18,6,1
13,2020-02-18,0,103
13,2020-02-18,14,12
12,2020-02-18,8,2
17,2020-02-17,4,1
16,2020-02-17,5,0
15,2020-02-17,3,1
15,2020-02-17,0,5
13,2020-02-17,3,2
16,2020-02-14,3,0
12,2020-02-14,11,3
19,2020-02-13,2,3
16,2020-02-13,4,1
15,2020-02-13,0,13
15,2020-02-13,5,2
13,2020-02-13,3,0
11,2020-02-13,5,1
11,2020-02-13,0,3
9,2020-02-13,7,1
21,2020-02-12,0,3
16,2020-02-12,5,2
13,2020-02-12,1,0
11,2020-02-12,6,1
18,2020-02-11,0,90
18,2020-02-11,0,63
18,2020-02-11,0,68
18,2020-02-11,0,71
13,2020-02-11,2,1
10,2020-02-11,0,16
10,2020-02-11,0,5
10,2020-02-11,0,5
10,2020-02-11,0,14
10,2020-02-11,11,4
15,2020-02-10,5,1
14,2020-02-10,9,2
13,2020-02-10,3,0
9,2020-02-10,7,3
11,2020-02-07,3,1
10,2020-02-07,0,2
10,2020-02-07,3,0
16,2020-02-06,4,1
15,2020-02-05,4,1
13,2020-02-05,2,0
11,2020-02-05,2,0
21,2020-02-04,5,1
17,2020-02-04,1,0
16,2020-02-04,4,3
13,2020-02-04,0,0
13,2020-02-03,7,2
12,2020-02-03,0,5
11,2020-02-03,0,4
11,2020-02-03,4,1
12,2020-01-31,0,14
12,2020-01-31,0,6
11,2020-01-31,5,2
16,2020-01-30,4,0
14,2020-01-30,0,1
13,2020-01-30,3,1
12,2020-01-30,10,1
12,2020-01-30,10,1
15,2020-01-29,1,1
13,2020-01-29,3,1
11,2020-01-29,14,5
19,2020-01-28,7,0
13,2020-01-28,3,0
13,2020-01-28,0,1
11,2020-01-28,5,3
19,2020-01-27,4,0
13,2020-01-27,4,0
12,2020-01-27,0,18
11,2020-01-27,1,2
9,2020-01-27,7,2
9,2020-01-27,0,1
23,2020-01-26,0,17
19,2020-01-24,2,1
17,2020-01-24,0,3
17,2020-01-24,0,8
16,2020-01-24,4,1
15,2020-01-24,2,2
14,2020-01-24,0,2
13,2020-01-24,0,0
19,2020-01-23,2,1
13,2020-01-23,4,2
15,2020-01-22,4,2
14,2020-01-22,0,26
12,2020-01-22,6,3
13,2020-01-21,1,0
13,2020-01-21,1,0
12,2020-01-21,6,4
19,2020-01-20,3,2
16,2020-01-20,0,5
16,2020-01-20,6,1
12,2020-01-20,0,8
12,2020-01-20,0,18
19,2020-01-19,3,2
13,2020-01-19,3,2
19,2020-01-17,1,0
13,2020-01-17,4,1
10,2020-01-17,2,1
19,2020-01-16,3,1
15,2020-01-16,4,1
15,2020-01-16,5,2
14,2020-01-16,0,15
13,2020-01-16,4,1
13,2020-01-16,0,13
13,2020-01-15,1,0
10,2020-01-15,13,7
9,2020-01-15,0,5
14,2020-01-14,5,5
14,2020-01-14,3,1
14,2020-01-13,0,19
13,2020-01-13,2,0
13,2020-01-12,1,0
19,2020-01-10,1,1
14,2020-01-10,3,3
13,2020-01-10,2,0
12,2020-01-10,0,610
12,2020-01-10,0,18
15,2020-01-09,5,0
13,2020-01-09,2,2
22,2020-01-08,0,15
22,2020-01-08,0,6
22,2020-01-08,0,11
22,2020-01-08,0,14
22,2020-01-08,0,23
22,2020-01-08,0,11
14,2020-01-08,0,5
13,2020-01-08,2,0
13,2020-01-08,3,1
15,2020-01-07,1,2
13,2020-01-07,5,3
9,2020-01-07,4,1
12,2019-12-31,2,1
12,2019-12-30,1,2
12,2019-12-22,0,4
12,2019-12-22,2,2
20,2019-12-19,0,43
20,2019-12-19,0,10
20,2019-12-19,0,17
20,2019-12-19,0,22
20,2019-12-19,0,11
13,2019-12-19,0,2
12,2019-12-19,0,2
15,2019-12-18,3,0
15,2019-12-18,5,1
11,2019-12-18,1,2
14,2019-12-17,0,6
10,2019-12-17,2,2
16,2019-12-16,7,4
12,2019-12-13,1,0
12,2019-12-13,0,13
12,2019-12-13,0,4
12,2019-12-13,1,1
11,2019-12-13,0,4
16,2019-12-12,8,2
15,2019-12-12,8,3
13,2019-12-12,3,1
10,2019-12-12,2,1
8,2019-12-12,0,11
11,2019-12-11,4,0
14,2019-12-10,2,2
13,2019-12-10,3,1
13,2019-12-10,1,1
12,2019-12-10,5,2
16,2019-12-09,5,1
15,2019-12-09,2,2
12,2019-12-09,0,10
12,2019-12-09,0,7
12,2019-12-09,0,7
11,2019-12-09,3,2
10,2019-12-09,2,1
20,2019-12-06,4,1
15,2019-12-06,0,6
13,2019-12-05,8,1
12,2019-12-05,0,8
12,2019-12-05,0,4
12,2019-12-05,0,7
18,2019-12-04,0,5
15,2019-12-04,0,2
13,2019-12-04,5,1
13,2019-12-04,3,0
13,2019-12-04,4,1
13,2019-12-04,2,0
12,2019-12-04,0,9
10,2019-12-04,4,1
10,2019-12-04,0,7
15,2019-12-03,4,3
12,2019-12-03,0,19
11,2019-12-03,0,0
10,2019-12-03,4,1
18,2019-12-02,0,20
18,2019-12-02,0,20
18,2019-12-02,0,5
18,2019-12-02,0,4
18,2019-12-02,0,10
18,2019-12-02,0,19
18,2019-12-02,0,5
18,2019-12-02,0,19
18,2019-12-02,0,16
18,2019-12-02,0,20
18,2019-12-02,0,26
13,2019-12-02,3,5
12,2019-12-02,0,1
11,2019-12-02,0,4
15,2019-11-29,3,2
11,2019-11-29,3,3
18,2019-11-28,2,1
17,2019-11-28,4,0
12,2019-11-27,3,0
9,2019-11-27,2,2
19,2019-11-26,1,0
12,2019-11-26,5,1
16,2019-11-25,6,0
9,2019-11-25,4,3
12,2019-11-24,4,2
13,2019-11-22,0,0
12,2019-11-22,6,2
16,2019-11-21,1,0
9,2019-11-21,3,2
18,2019-11-20,2,0
18,2019-11-20,11,0
17,2019-11-20,0,11
13,2019-11-20,3,0
12,2019-11-20,4,1
10,2019-11-20,1,0
17,2019-11-19,4,2
16,2019-11-19,2,0
13,2019-11-19,4,1
20,2019-11-18,1,0
17,2019-11-18,5,1
17,2019-11-18,0,2
13,2019-11-18,1,0
11,2019-11-18,4,2
12,2019-11-17,0,2
12,2019-11-17,8,1
13,2019-11-15,6,1
13,2019-11-14,10,3
12,2019-11-14,10,2
11,2019-11-14,2,2
9,2019-11-14,3,0
14,2019-11-13,0,2
14,2019-11-13,3,0
14,2019-11-13,0,1
13,2019-11-13,4,1
13,2019-11-12,1,0
11,2019-11-12,4,1
23,2019-11-11,0,24
23,2019-11-11,0,8
15,2019-11-11,1,0
13,2019-11-11,2,1
9,2019-11-08,5,1
9,2019-11-08,0,1
9,2019-11-08,0,2
9,2019-11-08,0,1
9,2019-11-08,0,2
9,2019-11-08,0,1
9,2019-11-08,0,1
9,2019-11-08,0,2
9,2019-11-08,0,2
9,2019-11-08,0,3
9,2019-11-08,0,3
9,2019-11-08,0,1
9,2019-11-08,0,3
9,2019-11-08,0,1
9,2019-11-08,0,7
9,2019-11-08,0,1
9,2019-11-08,0,3
9,2019-11-08,0,2
8,2019-11-08,5,4
16,2019-11-07,2,1
14,2019-11-07,10,7
10,2019-11-07,2,2
10,2019-11-07,0,59
14,2019-11-06,5,2
13,2019-11-06,4,1
13,2019-11-06,0,7
13,2019-11-06,0,7
13,2019-11-06,1,0
11,2019-11-06,6,2
13,2019-11-05,4,2
16,2019-11-04,2,1
13,2019-11-04,4,0
13,2019-11-03,3,3
13,2019-11-03,2,0
20,2019-11-02,2,1
15,2019-10-31,0,2
13,2019-10-31,4,1
11,2019-10-31,3,0
9,2019-10-31,4,0
9,2019-10-31,3,1
20,2019-10-30,2,0
14,2019-10-30,2,0
13,2019-10-30,1,1
13,2019-10-30,0,4
13,2019-10-30,5,2
10,2019-10-30,8,3
20,2019-10-29,2,1
15,2019-10-29,14,6
14,2019-10-29,4,1
13,2019-10-29,1,0
12,2019-10-29,0,7
11,2019-10-29,0,2
10,2019-10-29,9,1
9,2019-10-29,6,2
14,2019-10-28,2,0
9,2019-10-28,3,1
8,2019-10-28,0,1
13,2019-10-25,8,5
12,2019-10-25,4,2
12,2019-10-25,3,0
8,2019-10-25,3,2
8,2019-10-25,0,2
19,2019-10-24,4,0
14,2019-10-24,4,2
13,2019-10-24,1,0
12,2019-10-24,1,1
12,2019-10-24,1,0
10,2019-10-24,3,0
19,2019-10-23,2,1
15,2019-10-23,4,1
12,2019-10-23,5,2
10,2019-10-23,5,0
16,2019-10-22,3,0
15,2019-10-22,4,1
12,2019-10-22,1,0
10,2019-10-22,3,1
19,2019-10-21,1,0
14,2019-10-21,0,3
12,2019-10-21,4,0
10,2019-10-21,6,2
9,2019-10-21,4,0
19,2019-10-20,1,0
11,2019-10-20,1,2
19,2019-10-19,0,1
12,2019-10-19,4,1
13,2019-10-18,4,1
12,2019-10-18,1,1
12,2019-10-18,1,0
10,2019-10-18,2,0
14,2019-10-17,6,1
13,2019-10-17,3,0
12,2019-10-17,0,0
12,2019-10-17,0,1
12,2019-10-17,0,1
12,2019-10-17,0,0
11,2019-10-17,5,2
15,2019-10-16,4,0
12,2019-10-16,0,0
14,2019-10-15,4,0
12,2019-10-15,2,0
12,2019-10-14,10,4
12,2019-10-14,2,0
19,2019-10-13,3,2
19,2019-10-12,0,2
14,2019-10-11,2,2
13,2019-10-11,5,4
12,2019-10-11,3,0
10,2019-10-11,1,0
13,2019-10-10,6,0
12,2019-10-10,2,0
10,2019-10-10,4,2
9,2019-10-10,6,3
12,2019-10-09,2,0
17,2019-10-08,0,2
16,2019-10-08,2,0
12,2019-10-08,1,0
10,2019-10-08,1,0
10,2019-10-08,0,6
17,2019-10-07,0,1
13,2019-10-07,3,1
12,2019-10-07,4,2
11,2019-10-07,1,1
19,2019-10-06,2,1
11,2019-10-06,5,1
19,2019-10-05,1,0
11,2019-10-05,2,1
14,2019-10-04,1,0
12,2019-10-04,2,0
11,2019-10-04,2,0
10,2019-10-04,11,6
18,2019-10-03,0,2
14,2019-10-03,3,0
12,2019-10-03,2,1
12,2019-10-03,1,0
10,2019-10-03,4,2
10,2019-10-03,10,4
8,2019-10-03,2,2
15,2019-10-02,0,10
14,2019-10-02,5,4
12,2019-10-02,0,0
10,2019-10-02,8,4
7,2019-10-02,0,2
19,2019-10-01,1,0
14,2019-10-01,2,1
10,2019-10-01,1,0
8,2019-10-01,5,3
14,2019-09-30,0,5
14,2019-09-30,2,0
12,2019-09-30,1,1
11,2019-09-29,3,2
6,2019-09-29,3,0
